Feature,Coefficient,Abs_Coefficient
Promo2,103029.52052451103,103029.52052451103
StoreType_b,5073.226562156488,5073.226562156488
Assortment_b,-2842.428409209541,2842.428409209541
Promo,2287.9119371353377,2287.9119371353377
StateHoliday_b,1192.699891487417,1192.699891487417
Assortment_c,883.170540326958,883.170540326958
IsWeekend,706.8419743312987,706.8419743312987
StateHoliday_c,537.0948025273085,537.0948025273085
StateHoliday_a,280.5268450345495,280.5268450345495
DayOfWeek,-237.59230783040977,237.59230783040977
StoreType_d,-198.54685837380208,198.54685837380208
Year,193.60622310494608,193.60622310494608
SchoolHoliday,152.38785404185998,152.38785404185998
StoreType_c,-110.11467629647485,110.11467629647485
Month,69.1528652007029,69.1528652007029
Promo2SinceYear,-51.806667903492496,51.806667903492496
CompetitionOpenSinceMonth,-40.46996943660065,40.46996943660065
Promo2SinceWeek,19.358149843222424,19.358149843222424
Day,-2.180675619929627,2.180675619929627
WeekOfYear,1.3941366878942998,1.3941366878942998
CompetitionOpenSinceYear,0.20323402882804267,0.20323402882804267
Store,0.0659347340387161,0.0659347340387161
CompetitionDistance,-0.024306920052271884,0.024306920052271884
Open,-2.8387586156752853e-08,2.8387586156752853e-08
